word,definition,part of speech,example
excruciating,extremely painful.,adjective,"After the boulder rolled a couple of feet, pinning my friend's arm, he experienced excruciating pain."
exemplify,be characteristic of.,verb,"Lincoln exemplified the best of not only America, but also the potential greatness that exists within each person."
exemplify,clarify by giving an example of.,verb,Please present some case studies that exemplify the results that you claim in your paper.
exhort,to strongly urge on; encourage.,verb,"Nelson's parents exhorted him to study medicine, urging him to choose a respectable profession; intransigent, Nelson left home to become a graffiti artist."
extenuating,making less guilty or more forgivable.,adjective,The jury was hardly moved by the man's plea that his loneliness was an extenuating factor in his crime of dognapping a prized pooch.
facetious,cleverly amusing in tone.,adjective,Facetious behavior will not be tolerated during sex eduation class; it's time for all of you to treat these matters like mature adults.
fawn,try to gain favor by extreme flattery.,verb,"The media fawned over the handsome new CEO, praising his impeccable sense of style instead of asking more pointed questions. This word has other definitions but this is the most important one for the GRE."
ferret,to search for something persistently.,verb,"Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure words. This word has other definitions but this is the most important one for the GRE."
fete,to celebrate a person.,verb,"After World War II, war heroes were feted at first but quickly forgotten."
fickle,"liable to sudden unpredictable change, esp.",adjective,"in affections or attachments. She was so fickle in her politics, it was hard to pinpoint her beliefs; one week she would embrace a side, and the next week she would denounce it."
finagle,achieve something by means of trickery or devious methods.,verb,Steven was able to finagle one of the last seats on the train by convincing the conductor that his torn stub was actually a valid ticket.
fledgling,"young and inexperienced; describing any new participant in some activity Murray has years of experience in family practice, but he is just a fledgling in surgery.",adjective,
fleece,to deceive.,verb,Many people have been fleeced by Internet scams and never received their money back. This word has other definitions but this is the most important one for the GRE.
flounder,behave awkwardly; have difficulties.,verb,"Sylvia has excelled at advanced calculus, but ironically, when she has deal with taxes, she flounders."
flush,to be in abundance.,adjective,"The exam's passage is flush with difficult words, words that you may have learned only yesterday."
foible,a behavioral attribute that is distinctive and peculiar to an individual.,noun,"When their new roommate sat staring at an oak tree for an hour, Marcia thought it indicated a mental problem, but Jeff assured her it was a harmless foible."
foolhardy,marked by defiant disregard for danger or consequences.,adjective,"The police regularly face dangerous situations, so for a police officer not to wear his bullet-proof vest is foolhardy."
